"Street_Name","Cross_Street"
"MAIN ST","Vassar St"
"White St",""
"Rindge Ave","SCHOOL ST"
"Cambridge St","Berkshire St"
"Cambridge St",""
"GARDEN ST",""
"Windsor St",""
"Massachusetts Ave","Beech St"
"Massachusetts Ave","ESSEX ST"
"Brattle St","PALMER ST"
"Portland St","Washington Ave"
"PLEASANT ST",""
"Massachusetts Ave",""
"MAGAZINE ST","Putnam Ave"
"Massachusetts Ave","Vassar St"
"MALCOLM RD","LAKEVIEW AVE"
"PROSPECT ST",""
"Broadway","Galileo Galilei Way"
"Walden St","SHERMAN ST"
"Portland St","MAIN ST"
"HIGHLAND AVE","MARIE AVE"
"LINE ST",""
"KIRKLAND ST",""
"Massachusetts Ave","Wendell St"
"Vassar St","Massachusetts Ave"
"PROSPECT ST",""
"PLEASANT ST",""
"Cambridge St","PROSPECT ST"
"MOUNT AUBURN ST",""
"Alewife Brook Pky",""
"Walden St","Vincent St"
"Hampshire St","PROSPECT ST"
"River St",""
"Broadway",""
"Massachusetts Ave",""
"Trowbridge St",""
"Sidney St","ERIE ST"
"Broadway","QUINCY ST"
"Church St",""
"Bennett St","ELIOT ST"
"Bowdoin St","MARTIN ST"
"",""
"Binney St","FIRST ST"
"FRESH POND PKY",""
"GRANITE ST","ROCKINGH"
"Rindge Ave",""
"Massachusetts Ave","PEARL ST"
"Alpine St",""
"Concord Ave",""
"Concord Ave","SMITH PL"
"HANCOCK ST",""
"",""
"Fairmont Ave","PLEASANT ST"
"HARVARD ST",""
"NEWTON ST",""
"Rindge Ave","MIDDLESEX ST"
"River St","Franklin St"
"Columbia St","Hampshire St"
"FLORENCE ST",""
"Broadway",""
"Thorndike St",""
"Windsor St","Broadway"
"Broadway","Hampshire St"
"JFK St","Winthrop St"
"Hampshire St",""
"Massachusetts Ave","Norfolk St"
"Brattle St",""
"GARDEN ST",""
"GARDEN ST","HURON AVE"
"Broadway","Galileo Galilei Way"
"GARDEN ST","HURON AVE"
"PROSPECT ST","HARVARD ST"
"Concord Ave","Appleton St"
"Broadway","FELTON ST"
"Columbia St",""
