"id","Month","Day","Year","Time","AM/PM","Day_of_Week","Object_1","Object_2","Street_Number","Street_Name","Cross_Street","Location"
30546,3,25,2012,"02:45:00","AM","Sunday","Auto","Parked Vehicle","","Massachusetts Ave","Vassar St"," Massachusetts Ave & Vassar St Cambridge, MA"
29484,8,9,2013,"02:47:00","AM","Friday","Taxi","Fixed Object","","Massachusetts Ave","Waterhouse St"," Massachusetts Ave & Waterhouse St Cambridge, MA"
29766,10,12,2013,"02:47:00","AM","Saturday","Auto","Fixed Object",181,"Third St","","181 Third St Cambridge, MA"
29785,10,12,2013,"02:47:00","AM","Saturday","Auto","Fixed Object",181,"Third St","","181 Third St Cambridge, MA"
24655,8,25,2010,"02:50:00","AM","Wednesday","Auto","Auto","","MAIN ST","Windsor St"," MAIN ST & Windsor St Cambridge, MA"
26498,9,17,2011,"02:50:00","AM","Saturday","Taxi","Bicycle","","Massachusetts Ave","MEMORIAL DR"," Massachusetts Ave & MEMORIAL DR Cambridge, MA"
26947,12,18,2011,"02:50:00","AM","","Auto","Fixed Object","","Broadway","QUINCY ST"," Broadway & QUINCY ST Cambridge, MA"
29132,5,15,2013,"02:50:00","AM","Wednesday","Auto","Auto","","Massachusetts Ave","Waterhouse St"," Massachusetts Ave & Waterhouse St Cambridge, MA"
24403,6,30,2010,"02:55:00","AM","","Auto","Miscellaneous",264,"Walden St","","264 Walden St Cambridge, MA"
29664,9,22,2013,"02:55:00","AM","Sunday","Auto","Auto",80,"Berkshire St","","80 Berkshire St Cambridge, MA"
31719,12,23,2012,"02:56:00","AM","","Auto","Auto","","PROSPECT ST","Hampshire St"," PROSPECT ST & Hampshire St Cambridge, MA"
24457,6,18,2010,"02:57:00","AM","","Auto","Fixed Object",16,"FLAGG ST","","16 FLAGG ST Cambridge, MA"
23875,3,5,2010,"03:00:00","AM","Friday","Auto","Fixed Object","","Galileo Galilei Way","Broadway"," Galileo Galilei Way & Broadway Cambridge, MA"
24027,4,10,2010,"03:00:00","AM","Saturday","Auto","Fixed Object","","Bennett St","ELIOT ST"," Bennett St & ELIOT ST Cambridge, MA"
25066,11,13,2010,"03:00:00","AM","Saturday","Auto","Pedestrian","","Massachusetts Ave","Inman St"," Massachusetts Ave & Inman St Cambridge, MA"
25611,2,21,2011,"03:00:00","AM","Monday","Auto","Parked Vehicle",1238,"Massachusetts Ave","","1238 Massachusetts Ave Cambridge, MA"
26114,6,20,2011,"03:00:00","AM","","Auto","Fixed Object","","Alewife Brook Pky","New St"," Alewife Brook Pky & New St Cambridge, MA"
26166,7,3,2011,"03:00:00","AM","","Auto","Auto","","Cambridge St","FELTON ST"," Cambridge St & FELTON ST Cambridge, MA"
26357,8,16,2011,"03:00:00","AM","Tuesday","Auto","Parked Vehicle",20,"MARCELLA ST","","20 MARCELLA ST Cambridge, MA"
26457,9,8,2011,"03:00:00","AM","Thursday","Auto","Pedestrian","","KIRKLAND ST","Trowbridge St"," KIRKLAND ST & Trowbridge St Cambridge, MA"
26978,12,24,2011,"03:00:00","AM","Saturday","Auto","Parked Vehicle","","Cambridgeside Pl",""," Cambridgeside Pl &  Cambridge, MA"
29589,8,31,2013,"03:00:00","AM","Saturday","Auto","Auto",5,"Wood St","","5 Wood St Cambridge, MA"
30087,12,19,2013,"03:00:00","AM","Thursday","Auto","Auto",41,"Wendell St","","41 Wendell St Cambridge, MA"
30433,2,22,2012,"03:00:00","AM","Wednesday","Auto","Parked Vehicle",89,"ELM ST","","89 ELM ST Cambridge, MA"
30970,6,30,2012,"03:00:00","AM","","Truck","Fixed Object","198R","Alewife Brook Pky","","198R Alewife Brook Pky Cambridge, MA"
31417,10,11,2012,"03:00:00","AM","Thursday","Auto","Parked Vehicle",426,"HURON AVE","","426 HURON AVE Cambridge, MA"
31576,11,18,2012,"03:00:00","AM","Sunday","Taxi","Parked Vehicle",266,"Massachusetts Ave","","266 Massachusetts Ave Cambridge, MA"
31664,12,9,2012,"03:00:00","AM","Sunday","Auto","Parked Vehicle",1815,"Massachusetts Ave","","1815 Massachusetts Ave Cambridge, MA"
31666,12,10,2012,"03:00:00","AM","Monday","Auto","Fixed Object",5,"Western Ave","","5 Western Ave Cambridge, MA"
30065,12,15,2013,"03:01:00","AM","Sunday","Auto","Auto",77,"Massachusetts Ave","","77 Massachusetts Ave Cambridge, MA"
31502,10,31,2012,"03:05:00","AM","Wednesday","Auto","Fixed Object",822,"SOMERVILLE AVE","","822 SOMERVILLE AVE Cambridge, MA"
28550,1,1,2013,"03:10:00","AM","Tuesday","Auto","Auto",258,"PROSPECT ST","Hampshire St","258 PROSPECT ST Cambridge, MA"
31286,9,15,2012,"03:10:00","AM","Saturday","Auto","Fixed Object",284,"Vassar St","","284 Vassar St Cambridge, MA"
30591,3,31,2012,"03:14:00","AM","Saturday","Auto","Auto",1683,"Cambridge St","","1683 Cambridge St Cambridge, MA"
