"Month","Day","Year","Location","Object_1","Object_2","Events"
1,17,2010," MAGAZINE ST & Upton St Cambridge, MA","Auto","Auto","Rain-Snow"
1,17,2010," GARDEN ST & Concord Ave Cambridge, MA","Auto","Taxi","Rain-Snow"
1,17,2010," GARDEN ST & Concord Ave Cambridge, MA","Auto","Taxi","Rain-Snow"
1,17,2010,"274 Windsor St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
1,17,2010,"274 Windsor St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
1,18,2010," Massachusetts Ave & HANCOCK ST Cambridge, MA","Auto","Pedestrian","Rain-Snow"
1,18,2010," Massachusetts Ave & HANCOCK ST Cambridge, MA","Auto","Pedestrian","Rain-Snow"
1,18,2010," Massachusetts Ave & Sidney St Cambridge, MA","Auto","Pedestrian","Rain-Snow"
1,18,2010," Massachusetts Ave & Sidney St Cambridge, MA","Auto","Pedestrian","Rain-Snow"
1,18,2010,"589 MOUNT AUBURN ST Cambridge, MA","Truck","Fixed Object","Rain-Snow"
1,18,2010,"589 MOUNT AUBURN ST Cambridge, MA","Truck","Fixed Object","Rain-Snow"
1,19,2010,"620 Vassar St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
1,19,2010,"620 Vassar St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
1,19,2010," Columbia St & Cambridge St Cambridge, MA","Auto","Auto","Rain-Snow"
1,19,2010," Columbia St & Cambridge St Cambridge, MA","Auto","Auto","Rain-Snow"
1,15,2010," Alewife Brook Pky & Whittemore Ave Cambridge, MA","Auto","Auto",""
1,15,2010," Alewife Brook Pky & Whittemore Ave Cambridge, MA","Auto","Auto",""
1,19,2010," MERCER CIR & Sparks St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
1,19,2010," MERCER CIR & Sparks St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
1,19,2010," Binney St &  Cambridge, MA","Truck","Taxi","Rain-Snow"
1,19,2010," Binney St &  Cambridge, MA","Truck","Taxi","Rain-Snow"
1,20,2010,"100 Hampshire St Cambridge, MA","Auto","Auto","Snow"
1,20,2010,"100 Hampshire St Cambridge, MA","Auto","Auto","Snow"
2,21,2010," Broadway & Windsor St Cambridge, MA","Auto","Auto",""
2,21,2010," Broadway & Windsor St Cambridge, MA","Auto","Auto",""
1,21,2010," Massachusetts Ave & Washburn Ave Cambridge, MA","Auto","Fixed Object",""
1,21,2010," Massachusetts Ave & Washburn Ave Cambridge, MA","Auto","Fixed Object",""
1,13,2010,"147 Richdale Ave Cambridge, MA","Auto","Parked Vehicle","Snow"
1,13,2010,"147 Richdale Ave Cambridge, MA","Auto","Parked Vehicle","Snow"
1,21,2010,"90 Washington Ave Cambridge, MA","Auto","Parked Vehicle",""
1,21,2010,"90 Washington Ave Cambridge, MA","Auto","Parked Vehicle",""
1,22,2010,"20 Sacramento St Cambridge, MA","Auto","Auto",""
1,22,2010,"20 Sacramento St Cambridge, MA","Auto","Auto",""
1,23,2010," Dewolfe St & GRANT ST Cambridge, MA","Auto","Auto",""
1,23,2010," Dewolfe St & GRANT ST Cambridge, MA","Auto","Auto",""
1,22,2010," Vassar St & Massachusetts Ave Cambridge, MA","Auto","Bicycle",""
1,22,2010," Vassar St & Massachusetts Ave Cambridge, MA","Auto","Bicycle",""
1,24,2010," HURON AVE & Chilton St Cambridge, MA","Auto","Fixed Object",""
1,24,2010," HURON AVE & Chilton St Cambridge, MA","Auto","Fixed Object",""
1,22,2010,"14 SUMNER RD Cambridge, MA","Auto","Auto",""
1,22,2010,"14 SUMNER RD Cambridge, MA","Auto","Auto",""
1,25,2010,"730 MEMORIAL DR Cambridge, MA","Auto","Parked Vehicle","Rain"
1,25,2010,"730 MEMORIAL DR Cambridge, MA","Auto","Parked Vehicle","Rain"
1,25,2010," KIRKLAND ST &  Cambridge, MA","Auto","Pedestrian","Rain"
1,25,2010," KIRKLAND ST &  Cambridge, MA","Auto","Pedestrian","Rain"
1,25,2010,"1 Hampshire St Cambridge, MA","Auto","Fixed Object","Rain"
1,25,2010,"1 Hampshire St Cambridge, MA","Auto","Fixed Object","Rain"
1,22,2010,"55 Columbia St Cambridge, MA","Auto","Auto",""
1,22,2010,"55 Columbia St Cambridge, MA","Auto","Auto",""
1,26,2010," Massachusetts Ave & Albany St Cambridge, MA","Auto","School Bus","Rain"
1,26,2010," Massachusetts Ave & Albany St Cambridge, MA","Auto","School Bus","Rain"
1,26,2010," Massachusetts Ave & Landsdowne St Cambridge, MA","Auto","Auto","Rain"
1,26,2010," Massachusetts Ave & Landsdowne St Cambridge, MA","Auto","Auto","Rain"
1,26,2010," Walden St & Wood St Cambridge, MA","Auto","Auto","Rain"
1,26,2010," Walden St & Wood St Cambridge, MA","Auto","Auto","Rain"
1,26,2010,"302 Cambridge St Cambridge, MA","Auto","Parked Vehicle","Rain"
1,26,2010,"302 Cambridge St Cambridge, MA","Auto","Parked Vehicle","Rain"
1,26,2010," Binney St & Broadway Cambridge, MA","Auto","Pedestrian","Rain"
1,26,2010," Binney St & Broadway Cambridge, MA","Auto","Pedestrian","Rain"
