"id","Month","Day","Year","Location","Events"
24254,5,26,2010," Massachusetts Ave & DOUGLASS ST Cambridge, MA","Thunderstorm"
24255,5,27,2010," Cambridge St & ROBERTS RD Cambridge, MA","Rain"
24255,5,27,2010," Cambridge St & ROBERTS RD Cambridge, MA","Rain"
24256,5,27,2010,"340 Putnam Ave Cambridge, MA","Rain"
24256,5,27,2010,"340 Putnam Ave Cambridge, MA","Rain"
24257,5,27,2010,"114 PINE ST Cambridge, MA","Rain"
24257,5,27,2010,"114 PINE ST Cambridge, MA","Rain"
24258,5,27,2010,"58 Berkshire St Cambridge, MA","Rain"
24258,5,27,2010,"58 Berkshire St Cambridge, MA","Rain"
24259,5,24,2010," Walden St & SAVILLE ST Cambridge, MA",""
24259,5,24,2010," Walden St & SAVILLE ST Cambridge, MA",""
24260,5,27,2010,"2029 Blake St Cambridge, MA","Rain"
24260,5,27,2010,"2029 Blake St Cambridge, MA","Rain"
24261,5,27,2010," Massachusetts Ave & EVERETT ST Cambridge, MA","Rain"
24261,5,27,2010," Massachusetts Ave & EVERETT ST Cambridge, MA","Rain"
24262,5,27,2010," Walden St & HUBBARD AVE Cambridge, MA","Rain"
24262,5,27,2010," Walden St & HUBBARD AVE Cambridge, MA","Rain"
24263,5,28,2010,"12 EVERETT ST Cambridge, MA",""
24263,5,28,2010,"12 EVERETT ST Cambridge, MA",""
24264,5,28,2010," FULKERSON ST & Otis St Cambridge, MA",""
24264,5,28,2010," FULKERSON ST & Otis St Cambridge, MA",""
24265,5,28,2010," Binney St & Third St Cambridge, MA",""
24265,5,28,2010," Binney St & Third St Cambridge, MA",""
24266,5,28,2010,"11 Blackstone St Cambridge, MA",""
24266,5,28,2010,"11 Blackstone St Cambridge, MA",""
24267,5,28,2010,"1945 Massachusetts Ave Cambridge, MA",""
24267,5,28,2010,"1945 Massachusetts Ave Cambridge, MA",""
24268,5,30,2010," Blanchard Rd & Concord Ave Cambridge, MA",""
24268,5,30,2010," Blanchard Rd & Concord Ave Cambridge, MA",""
24269,5,30,2010," MIFFLIN PL & MOUNT AUBURN ST Cambridge, MA",""
24269,5,30,2010," MIFFLIN PL & MOUNT AUBURN ST Cambridge, MA",""
24270,5,30,2010," REED ST & DUDLEY ST Cambridge, MA",""
24270,5,30,2010," REED ST & DUDLEY ST Cambridge, MA",""
