"id","Month","Day","Year","Location","Object_1","Object_2","Events"
23702,1,18,2010," Massachusetts Ave & Sidney St Cambridge, MA","Auto","Pedestrian","Rain-Snow"
23703,1,18,2010,"589 MOUNT AUBURN ST Cambridge, MA","Truck","Fixed Object","Rain-Snow"
23703,1,18,2010,"589 MOUNT AUBURN ST Cambridge, MA","Truck","Fixed Object","Rain-Snow"
23704,1,19,2010,"620 Vassar St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23704,1,19,2010,"620 Vassar St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23705,1,19,2010," Columbia St & Cambridge St Cambridge, MA","Auto","Auto","Rain-Snow"
23705,1,19,2010," Columbia St & Cambridge St Cambridge, MA","Auto","Auto","Rain-Snow"
23706,1,15,2010," Alewife Brook Pky & Whittemore Ave Cambridge, MA","Auto","Auto",""
23706,1,15,2010," Alewife Brook Pky & Whittemore Ave Cambridge, MA","Auto","Auto",""
23707,1,19,2010," MERCER CIR & Sparks St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23707,1,19,2010," MERCER CIR & Sparks St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23708,1,19,2010," Binney St &  Cambridge, MA","Truck","Taxi","Rain-Snow"
23708,1,19,2010," Binney St &  Cambridge, MA","Truck","Taxi","Rain-Snow"
23709,1,20,2010,"100 Hampshire St Cambridge, MA","Auto","Auto","Snow"
23709,1,20,2010,"100 Hampshire St Cambridge, MA","Auto","Auto","Snow"
23711,2,21,2010," Broadway & Windsor St Cambridge, MA","Auto","Auto",""
23711,2,21,2010," Broadway & Windsor St Cambridge, MA","Auto","Auto",""
23712,1,21,2010," Massachusetts Ave & Washburn Ave Cambridge, MA","Auto","Fixed Object",""
23712,1,21,2010," Massachusetts Ave & Washburn Ave Cambridge, MA","Auto","Fixed Object",""
23713,1,13,2010,"147 Richdale Ave Cambridge, MA","Auto","Parked Vehicle","Snow"
23713,1,13,2010,"147 Richdale Ave Cambridge, MA","Auto","Parked Vehicle","Snow"
23714,1,21,2010,"90 Washington Ave Cambridge, MA","Auto","Parked Vehicle",""
23714,1,21,2010,"90 Washington Ave Cambridge, MA","Auto","Parked Vehicle",""
23715,1,22,2010,"20 Sacramento St Cambridge, MA","Auto","Auto",""
23715,1,22,2010,"20 Sacramento St Cambridge, MA","Auto","Auto",""
23716,1,23,2010," Dewolfe St & GRANT ST Cambridge, MA","Auto","Auto",""
23716,1,23,2010," Dewolfe St & GRANT ST Cambridge, MA","Auto","Auto",""
23717,1,22,2010," Vassar St & Massachusetts Ave Cambridge, MA","Auto","Bicycle",""
23717,1,22,2010," Vassar St & Massachusetts Ave Cambridge, MA","Auto","Bicycle",""
23719,1,24,2010," HURON AVE & Chilton St Cambridge, MA","Auto","Fixed Object",""
23719,1,24,2010," HURON AVE & Chilton St Cambridge, MA","Auto","Fixed Object",""
23720,1,22,2010,"14 SUMNER RD Cambridge, MA","Auto","Auto",""
23720,1,22,2010,"14 SUMNER RD Cambridge, MA","Auto","Auto",""
23721,1,25,2010,"730 MEMORIAL DR Cambridge, MA","Auto","Parked Vehicle","Rain"
23721,1,25,2010,"730 MEMORIAL DR Cambridge, MA","Auto","Parked Vehicle","Rain"
23722,1,25,2010," KIRKLAND ST &  Cambridge, MA","Auto","Pedestrian","Rain"
23722,1,25,2010," KIRKLAND ST &  Cambridge, MA","Auto","Pedestrian","Rain"
23723,1,25,2010,"1 Hampshire St Cambridge, MA","Auto","Fixed Object","Rain"
23723,1,25,2010,"1 Hampshire St Cambridge, MA","Auto","Fixed Object","Rain"
23724,1,22,2010,"55 Columbia St Cambridge, MA","Auto","Auto",""
23724,1,22,2010,"55 Columbia St Cambridge, MA","Auto","Auto",""
23725,1,26,2010," Massachusetts Ave & Albany St Cambridge, MA","Auto","School Bus","Rain"
23725,1,26,2010," Massachusetts Ave & Albany St Cambridge, MA","Auto","School Bus","Rain"
23726,1,26,2010," Massachusetts Ave & Landsdowne St Cambridge, MA","Auto","Auto","Rain"
23726,1,26,2010," Massachusetts Ave & Landsdowne St Cambridge, MA","Auto","Auto","Rain"
23727,1,26,2010," Walden St & Wood St Cambridge, MA","Auto","Auto","Rain"
23727,1,26,2010," Walden St & Wood St Cambridge, MA","Auto","Auto","Rain"
23728,1,26,2010,"302 Cambridge St Cambridge, MA","Auto","Parked Vehicle","Rain"
23728,1,26,2010,"302 Cambridge St Cambridge, MA","Auto","Parked Vehicle","Rain"
23729,1,26,2010," Binney St & Broadway Cambridge, MA","Auto","Pedestrian","Rain"
23729,1,26,2010," Binney St & Broadway Cambridge, MA","Auto","Pedestrian","Rain"
23730,1,26,2010," Third St & Otis St Cambridge, MA","Auto","Parked Vehicle","Rain"
23730,1,26,2010," Third St & Otis St Cambridge, MA","Auto","Parked Vehicle","Rain"
23733,1,16,2010,"175 HOLWORTHY ST Cambridge, MA","Auto","Parked Vehicle",""
23733,1,16,2010,"175 HOLWORTHY ST Cambridge, MA","Auto","Parked Vehicle",""
23734,1,25,2010,"186 Alewife Brook Pky Cambridge, MA","Auto","Parked Vehicle","Rain"
23734,1,25,2010,"186 Alewife Brook Pky Cambridge, MA","Auto","Parked Vehicle","Rain"
23735,1,26,2010," OXFORD AVE & EVERETT ST Cambridge, MA","Auto","Pedestrian","Rain"
23735,1,26,2010," OXFORD AVE & EVERETT ST Cambridge, MA","Auto","Pedestrian","Rain"
23736,1,27,2010,"49 White St Cambridge, MA","Auto","Parked Vehicle",""
23736,1,27,2010,"49 White St Cambridge, MA","Auto","Parked Vehicle",""
23737,1,27,2010,"1 White St Cambridge, MA","Auto","Auto",""
23737,1,27,2010,"1 White St Cambridge, MA","Auto","Auto",""
